crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository
async-channel,109665309,24567045,2024-05-16T01:34:44.810872Z,2019-05-06T13:07:43.086764Z,2.3.1,Async multi-producer multi-consumer channel,https://github.com/smol-rs/async-channel
semver-parser,109647423,9427104,2024-11-18T23:14:40.706078Z,2016-05-12T00:45:58.800365Z,0.10.3,"Parsing of the semver spec.
",https://github.com/steveklabnik/semver-parser
futures-lite,109276959,23348398,2025-01-12T02:31:27.608134Z,2020-05-31T09:53:26.285174Z,2.6.0,"Futures, streams, and async I/O combinators",https://github.com/smol-rs/futures-lite
zerocopy-derive,109258302,40348255,2025-04-08T17:46:04.208548Z,2019-02-28T01:15:28.169767Z,0.9.0-alpha.0,Custom derive for traits from the zerocopy crate,https://github.com/google/zerocopy
tonic,108923592,21773263,2025-03-25T19:14:06.433343Z,2018-07-18T06:55:22.955614Z,0.13.0,"A gRPC over HTTP/2 implementation focused on high performance, interoperability, and flexibility.
",https://github.com/hyperium/tonic
async-stream,108912852,20797854,2024-10-01T19:36:32.827442Z,2019-06-07T03:31:34.275797Z,0.3.6,Asynchronous streams using async & await notation,https://github.com/tokio-rs/async-stream
data-encoding,108884703,21996239,2025-02-09T10:55:07.032768Z,2015-12-05T14:17:01.338342Z,2.8.0,"Efficient and customizable data-encoding functions like base64, base32, and hex",https://github.com/ia0/data-encoding
serde_spanned,108826182,28447455,2024-09-25T19:07:21.220911Z,2023-01-20T21:28:32.749591Z,0.6.8,Serde-compatible spanned Value,https://github.com/toml-rs/toml
async-stream-impl,108747286,20772254,2024-10-01T19:35:11.626317Z,2019-08-13T21:33:30.729487Z,0.3.6,proc macros for async-stream crate,https://github.com/tokio-rs/async-stream
bincode,108701174,16749786,2025-03-10T18:28:08.334006Z,2014-11-20T20:03:47.604153Z,2.0.1,A binary serialization / deserialization strategy for transforming structs into bytes and vice versa!,https://github.com/bincode-org/bincode
ucd-trie,106559022,19022535,2024-09-29T12:17:30.563304Z,2018-03-06T02:30:39.993421Z,0.1.7,"A trie for storing Unicode codepoint sets and maps.
",https://github.com/BurntSushi/ucd-generate
dirs,106435265,13702474,2025-01-12T17:19:23.581020Z,2015-11-24T00:11:15.764867Z,6.0.0,"A tiny low-level library that provides platform-specific standard locations of directories for config, cache and other data on Linux, Windows, macOS and Redox by leveraging the mechanisms defined by the XDG base/user directory specifications on Linux, the Known Folder API on Windows, and the Standard Directory guidelines on macOS.",https://github.com/soc/dirs-rs
crunchy,106419143,23070618,2025-01-22T11:30:05.799441Z,2017-07-18T13:28:08.599993Z,0.2.3,Crunchy unroller: deterministically unroll constant loops,https://github.com/eira-fransham/crunchy
io-lifetimes,106103564,9108300,2024-12-04T01:31:02.426034Z,2021-06-12T18:57:46.951916Z,2.0.4,A low-level I/O ownership and borrowing library,https://github.com/sunfishcode/io-lifetimes
spki,106095382,27739256,2024-10-08T03:34:48.376711Z,2020-12-03T00:57:56.316288Z,0.8.0-rc.1,"X.509 Subject Public Key Info (RFC5280) describing public keys as well as their
associated AlgorithmIdentifiers (i.e. OIDs)
",https://github.com/RustCrypto/formats
powerfmt,106022409,31429660,2023-10-13T22:04:23.598335Z,2023-10-08T08:18:17.681438Z,0.2.0,"    `powerfmt` is a library that provides utilities for formatting values. This crate makes it
    significantly easier to support filling to a minimum width with alignment, avoid heap
    allocation, and avoid repetitive calculations.
",https://github.com/jhpratt/powerfmt
os_str_bytes,105883818,10096998,2025-02-21T03:57:36.408573Z,2019-11-28T22:56:27.497950Z,7.1.0,"Lossless functionality for platform-native strings
",https://github.com/dylni/os_str_bytes
memmap2,105725470,19477119,2024-09-13T16:09:38.606497Z,2020-01-18T14:19:42.096696Z,0.9.5,Cross-platform Rust API for memory-mapped file IO,https://github.com/RazrFalcon/memmap2-rs
vec_map,105132651,8574907,2020-05-06T13:38:10.140555Z,2015-05-04T02:11:35.894139Z,0.8.2,A simple map based on a vector for small integer keys,https://github.com/contain-rs/vec-map
clang-sys,104957403,18426318,2024-09-25T01:20:28.678885Z,2015-12-22T20:19:27.074026Z,1.8.1,Rust bindings for libclang.,https://github.com/KyleMayes/clang-sys
dirs-sys,104947384,15204003,2025-01-11T22:10:02.119353Z,2019-05-12T20:19:45.913839Z,0.5.0,System-level helper functions for the dirs and directories crates.,https://github.com/dirs-dev/dirs-sys-rs
serde_with,104874120,23270913,2024-12-25T22:01:32.382863Z,2017-08-17T21:50:27.312670Z,3.12.0,Custom de/serialization functions for Rust's serde,https://github.com/jonasbb/serde_with/
matchit,104754010,26492374,2025-01-02T22:51:10.969517Z,2020-12-21T17:41:53.171988Z,0.8.6,"A high performance, zero-copy URL router.",https://github.com/ibraheemdev/matchit
allocator-api2,104311203,28177793,2024-12-01T14:49:16.555989Z,2023-02-27T08:40:54.775171Z,0.2.21,Mirror of Rust's allocator API,https://github.com/zakarumych/allocator-api2
bit-set,103027887,23879906,2024-07-16T17:18:45.390925Z,2015-06-03T01:12:47.369506Z,0.8.0,A set of bits,https://github.com/contain-rs/bit-set
serde_with_macros,102948281,22898833,2024-12-25T22:01:20.600105Z,2019-04-02T19:59:37.282350Z,3.12.0,proc-macro library for serde_with,https://github.com/jonasbb/serde_with/
constant_time_eq,102745665,17970782,2025-03-15T17:03:47.885264Z,2015-05-22T02:07:15.678036Z,0.4.2,Compares two equal-sized byte strings in constant time.,https://github.com/cesarb/constant_time_eq
aes,102743020,15212110,2025-03-07T14:27:54.630837Z,2016-10-06T21:22:19.164040Z,0.9.0-pre.3,Pure Rust implementation of the Advanced Encryption Standard (a.k.a. Rijndael),https://github.com/RustCrypto/block-ciphers
pkcs8,102317015,27078086,2025-02-15T00:33:11.105691Z,2020-06-12T14:01:14.160533Z,0.11.0-rc.2,"Pure Rust implementation of Public-Key Cryptography Standards (PKCS) #8:
Private-Key Information Syntax Specification (RFC 5208), with additional
support for PKCS#8v2 asymmetric key packages (RFC 5958)
",https://github.com/RustCrypto/formats
proc-macro-hack,102227765,6041530,2022-12-19T18:23:34.874100Z,2016-12-30T22:31:38.178246Z,0.5.20+deprecated,Procedural macros in expression position,https://github.com/dtolnay/proc-macro-hack
indoc,101928215,20663331,2025-03-03T23:32:31.175928Z,2016-03-19T07:03:31.602187Z,2.0.6,Indented document literals,https://github.com/dtolnay/indoc
md-5,101786640,16329655,2025-03-05T21:16:47.724779Z,2017-04-06T15:22:37.614943Z,0.11.0-pre.5,MD5 hash function,https://github.com/RustCrypto/hashes
concurrent-queue,101782705,20997732,2024-04-26T14:26:18.816602Z,2020-05-17T16:08:47.117572Z,2.5.0,Concurrent multi-producer multi-consumer queue,https://github.com/smol-rs/concurrent-queue
core-foundation,101770122,20635588,2024-08-11T05:37:53.580329Z,2015-02-12T10:50:45.593830Z,0.10.0,Bindings to Core Foundation for macOS,https://github.com/servo/core-foundation-rs
cexpr,100548089,18063601,2021-10-11T09:31:52.220209Z,2016-07-13T05:40:52.032296Z,0.6.0,A C expression parser and evaluator,https://github.com/jethrogb/rust-cexpr
libz-sys,100313352,15601083,2025-03-15T04:10:36.389218Z,2014-11-11T06:38:26.586055Z,1.1.22,Low-level bindings to the system libz library (also known as zlib).,https://github.com/rust-lang/libz-sys
target-lexicon,100139491,22092449,2025-02-07T20:46:40.742202Z,2018-05-24T19:59:42.278674Z,0.13.2,LLVM target triple types,https://github.com/bytecodealliance/target-lexicon
mime_guess,100016483,15936353,2024-06-29T07:32:21.605352Z,2015-07-04T21:29:52.384284Z,2.0.5,A simple crate for detection of a file's MIME type by its extension.,https://github.com/abonander/mime_guess
bytemuck,99993154,21116350,2025-03-03T04:19:56.729821Z,2019-09-22T19:07:58.696010Z,1.22.0,A crate for mucking around with piles of bytes.,https://github.com/Lokathor/bytemuck
sha-1,99958978,7310856,2022-11-28T15:23:38.331317Z,2017-04-06T15:22:59.179268Z,0.10.1,SHA-1 hash function. This crate is deprecated! Use the sha1 crate instead.,https://github.com/RustCrypto/hashes
multimap,99943151,18491116,2024-01-15T22:44:06.801518Z,2015-04-24T16:19:20.896573Z,0.10.0,A multimap implementation.,https://github.com/havarnov/multimap
async-lock,98963417,19702879,2024-06-01T14:37:52.663679Z,2019-05-22T20:50:55.568552Z,3.4.0,Async synchronization primitives,https://github.com/smol-rs/async-lock
wasm-bindgen-futures,97806107,17642837,2025-01-12T23:18:55.037907Z,2018-08-13T21:35:58.500192Z,0.4.50,Bridging the gap between Rust Futures and JavaScript Promises,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/futures
arc-swap,96709988,17477794,2024-03-23T10:40:35.441856Z,2018-04-16T07:00:39.250384Z,1.7.1,Atomically swappable Arc,https://github.com/vorner/arc-swap
const-oid,95958723,22357126,2025-04-08T12:32:00.586593Z,2020-08-04T15:51:24.822805Z,0.10.1,"Const-friendly implementation of the ISO/IEC Object Identifier (OID) standard
as defined in ITU X.660, with support for BER/DER encoding/decoding as well as
heapless no_std (i.e. embedded) support
",https://github.com/RustCrypto/formats
remove_dir_all,95871322,5110793,2024-11-22T13:28:04.656448Z,2017-03-29T00:02:22.651612Z,1.0.0,"A safe, reliable implementation of remove_dir_all for Windows",https://github.com/XAMPPRocky/remove_dir_all.git
base64ct,94824807,21192098,2025-03-13T18:56:37.952384Z,2021-01-21T19:26:20.080406Z,1.7.3,"Pure Rust implementation of Base64 (RFC 4648) which avoids any usages of
data-dependent branches/LUTs and thereby provides portable ""best effort""
constant-time operation and embedded-friendly no_std support
",https://github.com/RustCrypto/formats
pem,94727364,21272910,2025-02-21T14:37:03.781063Z,2016-02-27T18:57:14.248270Z,3.0.5,Parse and encode PEM-encoded data.,https://github.com/jcreekmore/pem-rs.git
quick-xml,94699954,24748010,2025-04-01T08:34:49.856839Z,2016-02-01T05:38:26.023287Z,0.37.4,High performance xml reader and writer,https://github.com/tafia/quick-xml
num,94482463,15509736,2025-01-25T00:57:47.642450Z,2014-11-11T05:37:31.772551Z,0.4.3,"A collection of numeric types and traits for Rust, including bigint,
complex, rational, range iterators, generic integers, and more!
",https://github.com/rust-num/num
webpki,94265915,4316026,2023-10-09T00:31:09.299041Z,2016-08-16T01:33:53.951242Z,0.22.4,Web PKI X.509 Certificate Verification.,https://github.com/briansmith/webpki
lru,94214483,16630779,2025-01-28T00:30:45.494308Z,2016-12-31T13:49:16.056740Z,0.13.0,A LRU cache implementation,https://github.com/jeromefroe/lru-rs.git
parking,93727983,20529185,2024-09-07T17:39:03.956479Z,2020-05-16T14:40:51.599742Z,2.2.1,Thread parking and unparking,https://github.com/smol-rs/parking
pest_derive,93648854,17961407,2025-03-25T06:57:22.971024Z,2017-08-15T16:12:13.196790Z,2.8.0,pest's derive macro,https://github.com/pest-parser/pest
csv,92666914,12996689,2024-11-09T12:51:17.632722Z,2014-11-21T00:11:41.885162Z,1.3.1,Fast CSV parsing with support for serde.,https://github.com/BurntSushi/rust-csv
pest_meta,92566538,17915917,2025-03-25T06:55:35.824827Z,2018-09-30T03:32:45.102540Z,2.8.0,pest meta language parser and validator,https://github.com/pest-parser/pest
pest_generator,92458387,17885327,2025-03-25T06:56:46.588851Z,2018-10-01T05:22:47.236630Z,2.8.0,pest code generator,https://github.com/pest-parser/pest
bitvec,92373067,18101901,2022-07-10T03:51:17.388090Z,2018-06-28T06:28:54.134674Z,1.0.1,"Addresses memory by bits, for packed collections and bitfields",https://github.com/bitvecto-rs/bitvec
atomic-waker,91929770,25381613,2023-09-25T17:45:09.388277Z,2020-05-29T09:54:53.291330Z,1.1.2,A synchronization primitive for task wakeup,https://github.com/smol-rs/atomic-waker
console,91545109,15825295,2025-03-01T22:18:16.714733Z,2017-05-09T11:53:13.825478Z,0.15.11,A terminal and console abstraction for Rust,https://github.com/console-rs/console
csv-core,90894124,12951693,2025-02-12T16:08:33.328351Z,2017-05-23T01:28:33.952564Z,0.1.12,Bare bones CSV parsing with no_std support.,https://github.com/BurntSushi/rust-csv
radium,90571642,18041569,2023-11-26T18:58:47.251586Z,2019-05-26T22:33:54.460244Z,1.1.0,Portable interfaces for maybe-atomic types,https://github.com/ferrilab/ferrilab
hyper-timeout,90315796,22117101,2024-11-03T19:44:30.127358Z,2017-07-15T01:32:03.275740Z,0.5.2,"A connect, read and write timeout aware connector to be used with hyper Client.",https://github.com/hjr3/hyper-timeout
rand_hc,90187285,8650284,2025-01-27T14:40:07.647563Z,2018-10-30T09:53:01.939542Z,0.4.0,"HC128 random number generator
",https://github.com/rust-random/rngs
phf_codegen,90126173,15652834,2025-01-06T20:33:52.154793Z,2015-02-22T20:49:07.396790Z,0.11.3,Codegen library for PHF types,https://github.com/rust-phf/rust-phf
num-conv,89690256,30852709,2023-12-23T08:52:41.119523Z,2023-12-23T08:52:41.119523Z,0.1.0,"`num_conv` is a crate to convert between integer types without using `as` casts. This provides
better certainty when refactoring, makes the exact behavior of code more explicit, and allows using
turbofish syntax.
",https://github.com/jhpratt/num-conv
polling,89218773,17679564,2024-11-07T15:28:40.971957Z,2020-08-06T13:17:41.554742Z,3.7.4,"Portable interface to epoll, kqueue, event ports, and IOCP",https://github.com/smol-rs/polling
security-framework,88031087,17990361,2025-01-07T16:04:15.335636Z,2015-11-27T22:17:03.528149Z,3.2.0,Security.framework bindings for macOS and iOS,https://github.com/kornelski/rust-security-framework
criterion,87871942,17944421,2023-05-26T08:59:50.811468Z,2017-12-02T23:43:19.376458Z,0.5.1,Statistics-driven micro-benchmarking library,https://github.com/bheisler/criterion.rs
derivative,87864388,12349945,2021-01-23T17:05:39.339355Z,2016-10-07T23:35:58.354746Z,2.2.0,A set of alternative `derive` attributes for Rust,https://github.com/mcarton/rust-derivative
winreg,87769577,11207363,2025-01-12T22:15:39.272222Z,2015-04-17T22:26:16.702190Z,0.55.0,Rust bindings to MS Windows Registry API,https://github.com/gentoo90/winreg-rs
tap,87083500,18209403,2021-02-13T02:43:25.525644Z,2017-06-24T22:48:02.471590Z,1.0.1,Generic extensions for tapping values in Rust,https://github.com/myrrlyn/tap
funty,86427823,17922076,2023-01-29T04:40:16.975264Z,2020-02-24T03:26:45.809913Z,3.0.0-rc2,Trait generalization over the primitive types,https://github.com/ferrilab/ferrilab
wyz,86002242,17957069,2022-11-16T04:54:37.181940Z,2019-09-22T02:52:16.932380Z,0.6.1,myrrlyn’s utility collection,https://github.com/myrrlyn/wyz
security-framework-sys,85089213,15960901,2025-01-07T16:00:44.965072Z,2015-11-27T22:16:51.749519Z,2.14.0,Apple `Security.framework` low-level FFI bindings,https://github.com/kornelski/rust-security-framework
arrayref,84863227,13739686,2024-09-14T12:24:40.788186Z,2015-08-24T18:49:31.735963Z,0.3.9,Macros to take array references of slices,https://github.com/droundy/arrayref
tungstenite,84437637,14460820,2025-02-18T10:51:41.206384Z,2017-03-17T16:50:05.505222Z,0.26.2,Lightweight stream-based WebSocket implementation,https://github.com/snapview/tungstenite-rs
schannel,84371583,15489844,2024-11-19T08:42:19.178581Z,2015-10-19T14:53:41.310471Z,0.1.27,"Schannel bindings for rust, allowing SSL/TLS (e.g. https) without openssl",https://github.com/steffengy/schannel-rs
block-padding,84351899,8270290,2025-02-22T16:13:02.376076Z,2018-02-20T13:54:53.959408Z,0.4.0-rc.3,Padding and unpadding of messages divided into blocks.,https://github.com/RustCrypto/utils
combine,84316307,15540147,2024-04-10T09:56:27.206101Z,2015-07-17T14:19:14.002384Z,4.6.7,Fast parser combinators on arbitrary streams with zero-copy support.,https://github.com/Marwes/combine
crypto-mac,84234992,5488542,2021-07-20T13:10:34.870407Z,2016-10-14T15:22:47.584215Z,0.11.1,Trait for Message Authentication Code (MAC) algorithms,https://github.com/RustCrypto/traits
num_enum,83301487,16292392,2024-07-29T12:49:42.149865Z,2018-11-12T00:11:02.762349Z,0.7.3,Procedural macros to make inter-operation between primitives and enums easier.,https://github.com/illicitonion/num_enum
num_enum_derive,83172641,16288539,2024-07-29T12:45:05.316346Z,2019-08-09T22:18:28.695283Z,0.7.3,Internal implementation details for ::num_enum (Procedural macros to make inter-operation between primitives and enums easier),https://github.com/illicitonion/num_enum
windows,82841968,20143010,2025-03-18T19:11:29.737188Z,2019-01-15T00:13:05.848555Z,0.61.1,Rust for Windows,https://github.com/microsoft/windows-rs
cast,82706237,16071553,2021-09-04T11:07:33.449935Z,2016-02-07T20:43:08.957175Z,0.3.0,"Ergonomic, checked cast functions for primitive types",https://github.com/japaric/cast.rs
async-io,81987229,15286887,2024-11-07T20:45:52.919545Z,2019-05-18T10:59:20.102722Z,2.4.0,Async I/O and timers,https://github.com/smol-rs/async-io
rand_xorshift,81886408,14967805,2025-01-27T14:40:36.244226Z,2018-10-04T09:45:08.645922Z,0.4.0,"Xorshift random number generator
",https://github.com/rust-random/rngs
pbkdf2,81761589,12531006,2024-07-27T20:54:58.055110Z,2017-02-28T15:23:53.287798Z,0.13.0-pre.1,Generic implementation of PBKDF2,https://github.com/RustCrypto/password-hashes
scoped-tls,81201351,12500152,2022-10-31T15:01:56.394137Z,2016-03-23T16:35:10.496904Z,1.0.1,"Library implementation of the standard library's old `scoped_thread_local!`
macro for providing scoped access to thread local storage (TLS) so any type can
be stored into TLS.
",https://github.com/alexcrichton/scoped-tls
android_system_properties,80268653,17309771,2022-08-30T10:42:28.363547Z,2022-06-27T18:37:55.464346Z,0.1.5,Minimal Android system properties wrapper,https://github.com/nical/android_system_properties
num_threads,80248397,12435535,2024-02-15T02:51:38.770784Z,2021-11-15T05:19:12.536893Z,0.1.7,A minimal library that determines the number of running threads for the current process.,https://github.com/jhpratt/num_threads
displaydoc,79500332,31189370,2024-06-20T21:51:42.769781Z,2019-10-10T02:29:31.389536Z,0.2.5,"A derive macro for implementing the display Trait via a doc comment and string interpolation
",https://github.com/yaahc/displaydoc
tinytemplate,79013847,15609050,2021-03-04T00:05:08.069396Z,2019-01-19T16:42:26.192003Z,1.2.1,"Simple, lightweight template engine",https://github.com/bheisler/TinyTemplate
criterion-plot,78911814,15684616,2022-09-10T17:48:08.968537Z,2016-02-26T23:04:18.130991Z,0.5.0,Criterion's plotting library,https://github.com/bheisler/criterion.rs
oorandom,78861115,16149670,2025-03-07T13:10:16.263607Z,2019-07-15T22:52:00.911246Z,11.1.5,"A tiny, robust PRNG implementation.",https://hg.sr.ht/~icefox/oorandom
tonic-build,78773234,15188102,2025-03-25T19:14:13.608442Z,2019-09-10T15:56:35.568394Z,0.13.0,"Codegen module of `tonic` gRPC implementation.
",https://github.com/hyperium/tonic
globset,78640885,12011825,2025-02-27T17:47:05.577701Z,2016-10-11T00:07:33.117536Z,0.4.16,"Cross platform single glob and glob set matching. Glob set matching is the
process of matching one or more glob patterns against a single candidate path
simultaneously, and returning all of the globs that matched.
",https://github.com/BurntSushi/ripgrep/tree/master/crates/globset
urlencoding,78466749,15358406,2023-07-21T15:12:17.534094Z,2016-09-15T10:44:56.997351Z,2.1.3,A Rust library for doing URL percentage encoding.,https://github.com/kornelski/rust_urlencoding
portable-atomic,78453742,24349032,2025-02-24T13:31:07.731833Z,2022-02-24T03:15:21.449241Z,1.11.0,"Portable atomic types including support for 128-bit atomics, atomic float, etc.
",https://github.com/taiki-e/portable-atomic
dyn-clone,78402798,16612037,2025-03-03T23:26:49.073259Z,2019-12-23T06:48:24.186057Z,1.0.19,Clone trait that is dyn-compatible,https://github.com/dtolnay/dyn-clone
unindent,78235809,16546712,2025-03-03T23:32:26.449483Z,2016-07-17T21:11:22.557375Z,0.2.4,Remove a column of leading whitespace from a string,https://github.com/dtolnay/indoc
hostname,78023729,11406850,2025-04-08T08:10:29.607795Z,2016-12-13T12:47:54.090323Z,0.4.1,Cross-platform system's host name functions,https://github.com/svartalf/hostname
cargo_metadata,77858147,12352662,2025-03-02T16:12:24.044104Z,2017-01-24T10:16:04.030507Z,0.19.2,structured access to the output of `cargo metadata`,https://github.com/oli-obk/cargo_metadata
opentelemetry,77746820,17313954,2025-04-02T14:47:58.715578Z,2019-11-08T20:41:11.251122Z,0.29.1,OpenTelemetry API for Rust,https://github.com/open-telemetry/opentelemetry-rust/tree/main/opentelemetry
fallible-iterator,77618210,12694192,2023-05-22T23:12:37.497125Z,2016-05-06T16:53:35.239726Z,0.3.0,Fallible iterator traits,https://github.com/sfackler/rust-fallible-iterator
rustls-pki-types,77546088,29523752,2025-01-27T14:17:48.613462Z,2023-08-31T09:09:47.215663Z,1.11.0,Shared types for the rustls PKI ecosystem,https://github.com/rustls/pki-types
tower-http,77356482,18450203,2024-11-18T19:30:58.685083Z,2017-03-10T04:36:50.296787Z,0.6.2,Tower middleware and utilities for HTTP clients and servers,https://github.com/tower-rs/tower-http
utf-8,77207027,12610678,2021-04-16T14:55:34.691346Z,2015-10-29T16:30:25.738814Z,0.7.6,"Incremental, zero-copy UTF-8 decoding with error handling",https://github.com/SimonSapin/rust-utf8
zeroize_derive,76812969,13993791,2023-03-31T02:07:19.386562Z,2019-03-23T21:12:27.537530Z,1.4.2,Custom derive support for zeroize,https://github.com/RustCrypto/utils/tree/master/zeroize/derive
peeking_take_while,76581911,7976659,2021-09-03T17:58:50.443671Z,2017-05-17T00:42:53.962618Z,1.0.0,"Like `Iterator::take_while`, but calls the predicate on a peeked value. This allows you to use `Iterator::by_ref` and `Iterator::take_while` together, and still get the first value for which the `take_while` predicate returned false after dropping the `by_ref`.",https://github.com/fitzgen/peeking_take_while
predicates,76499523,12846682,2024-12-19T18:53:32.360850Z,2017-06-02T17:07:01.532559Z,3.1.3,An implementation of boolean-valued predicate functions.,https://github.com/assert-rs/predicates-rs
tracing-serde,76425769,18355528,2024-11-27T21:24:29.884640Z,2019-06-27T22:08:23.362922Z,0.2.0,"A compatibility layer for serializing trace data with `serde`
",https://github.com/tokio-rs/tracing
serde_bytes,75488946,13439119,2025-03-09T20:51:20.832664Z,2017-04-08T05:15:16.364612Z,0.11.17,Optimized handling of `&[u8]` and `Vec<u8>` for Serde,https://github.com/serde-rs/bytes
dirs-sys-next,75406028,9867637,2021-01-09T05:59:36.540586Z,2020-05-06T15:47:35.608863Z,0.1.2,system-level helper functions for the dirs and directories crates,https://github.com/xdg-rs/dirs/tree/master/dirs-sys
yaml-rust,75087384,5576867,2021-01-03T19:58:30.295058Z,2015-06-04T08:32:01.133062Z,0.4.5,The missing YAML 1.2 parser for rust,https://github.com/chyh1990/yaml-rust
pyo3-build-config,74912527,21984974,2025-03-31T21:05:40.181849Z,2021-05-25T06:25:05.705827Z,0.24.1,Build configuration for the PyO3 ecosystem,https://github.com/pyo3/pyo3
tiny-keccak,74818447,16535351,2020-04-01T14:34:13.119797Z,2015-11-27T10:24:04.913465Z,2.0.2,An implementation of Keccak derived functions.,
crypto-bigint,74741864,16585402,2025-02-18T22:37:41.950300Z,2021-04-30T19:41:39.805312Z,0.7.0-pre.0,"Pure Rust implementation of a big integer library which has been designed from
the ground-up for use in cryptographic applications. Provides constant-time,
no_std-friendly implementations of modern formulas using const generics.
",https://github.com/RustCrypto/crypto-bigint
is_terminal_polyfill,74486131,29315516,2024-07-25T13:51:50.036695Z,2024-05-02T17:55:24.459203Z,1.70.1,Polyfill for `is_terminal` stdlib feature for use with older MSRVs,https://github.com/polyfill-rs/is_terminal_polyfill
tracing-futures,74409976,7248426,2021-02-16T21:17:03.683426Z,2019-06-27T22:04:57.142995Z,0.2.5,"Utilities for instrumenting `futures` with `tracing`.
",https://github.com/tokio-rs/tracing
cfg_aliases,74003301,25046066,2024-05-10T16:29:14.741823Z,2020-04-05T15:56:29.360016Z,0.2.1,A tiny utility to help save you a lot of effort with long winded `#[cfg()]` checks.,https://github.com/katharostech/cfg_aliases
signal-hook,73941262,9274132,2023-07-18T15:21:46.884143Z,2018-06-22T17:38:56.065914Z,0.3.17,Unix signal handling,https://github.com/vorner/signal-hook
pem-rfc7468,73767751,21607554,2024-10-15T20:03:30.229881Z,2021-02-16T16:40:33.169667Z,1.0.0-rc.2,"PEM Encoding (RFC 7468) for PKIX, PKCS, and CMS Structures, implementing a
strict subset of the original Privacy-Enhanced Mail encoding intended
specifically for use with cryptographic keys, certificates, and other messages.
Provides a no_std-friendly, constant-time implementation suitable for use with
cryptographic private keys.
",https://github.com/RustCrypto/formats
iana-time-zone-haiku,73762474,16664765,2023-05-12T08:43:45.406909Z,2022-10-08T17:07:12.928972Z,0.1.2,iana-time-zone support crate for Haiku OS,https://github.com/strawlab/iana-time-zone
rand_pcg,73481673,6449843,2025-01-27T13:38:15.140218Z,2018-10-04T09:46:15.905354Z,0.9.0,"Selected PCG random number generators
",https://github.com/rust-random/rand
waker-fn,73348335,11184566,2024-05-13T00:24:30.171231Z,2020-05-16T17:22:12.647555Z,1.2.0,Convert closures into wakers,https://github.com/smol-rs/waker-fn
tokio-tungstenite,73224789,12919400,2025-02-18T10:55:41.699176Z,2017-03-17T17:27:49.033103Z,0.26.2,"Tokio binding for Tungstenite, the Lightweight stream-based WebSocket implementation",https://github.com/snapview/tokio-tungstenite
cookie,73191348,10636929,2024-03-25T09:39:10.390155Z,2014-11-22T04:01:16.924470Z,0.18.1,"HTTP cookie parsing and cookie jar management. Supports signed and private
(encrypted, authenticated) jars.
",https://github.com/SergioBenitez/cookie-rs
plotters,73165553,15006611,2024-09-08T14:48:03.071447Z,2019-04-24T17:22:34.929046Z,0.3.7,A Rust drawing library focus on data plotting for both WASM and native applications,https://github.com/plotters-rs/plotters
terminal_size,73065272,11920709,2025-03-08T22:01:52.317858Z,2015-08-26T19:10:31.722938Z,0.4.2,Gets the size of your Linux or Windows terminal,https://github.com/eminence/terminal-size
xattr,72999246,12626223,2025-03-06T18:59:23.062689Z,2015-07-10T16:09:41.699659Z,1.5.0,unix extended filesystem attributes,https://github.com/Stebalien/xattr
hkdf,72876377,14653017,2025-03-07T14:52:42.159269Z,2015-01-03T00:12:58.334169Z,0.13.0-pre.5,HMAC-based Extract-and-Expand Key Derivation Function (HKDF),https://github.com/RustCrypto/KDFs/
diff,72774901,10856234,2022-06-29T01:52:10.836270Z,2015-04-30T08:47:27.336024Z,0.1.13,An LCS based slice and string diffing implementation.,https://github.com/utkarshkukreti/diff.rs
pyo3,72572341,16844407,2025-03-31T21:06:18.192069Z,2017-07-23T18:28:44.917432Z,0.24.1,Bindings to Python interpreter,https://github.com/pyo3/pyo3
tar,72429704,12003222,2025-02-22T00:59:08.196026Z,2014-11-11T00:22:07.358495Z,0.4.44,"A Rust implementation of a TAR file reader and writer. This library does not
currently handle compression, but it is abstract over all I/O readers and
writers. Additionally, great lengths are taken to ensure that the entire
contents are never required to be entirely resident in memory all at once.
",https://github.com/alexcrichton/tar-rs
camino,72351187,12734613,2024-08-18T02:02:51.692216Z,2021-02-23T18:20:23.469325Z,1.1.9,UTF-8 paths,https://github.com/camino-rs/camino
curve25519-dalek,72323344,12556104,2024-06-18T19:20:35.007627Z,2016-12-08T05:13:57.620503Z,4.1.3,A pure-Rust implementation of group operations on ristretto255 and Curve25519,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/curve25519-dalek
hashlink,72256615,17248652,2024-12-09T11:48:51.357012Z,2019-07-06T10:17:21.361009Z,0.10.0,HashMap-like containers that hold their key-value pairs in a user controllable order,https://github.com/kyren/hashlink
valuable,72175323,16412693,2025-01-17T00:46:34.256238Z,2021-03-09T18:32:03.666997Z,0.1.1,"Object-safe value inspection, used to pass un-typed structured data across trait-object boundaries.
",https://github.com/tokio-rs/valuable
yansi,71674170,13666222,2024-03-13T07:48:07.624195Z,2017-06-02T04:14:59.893274Z,1.0.1,A dead simple ANSI terminal color painting library.,https://github.com/SergioBenitez/yansi
pyo3-macros-backend,70626264,16721071,2025-03-31T21:05:50.218808Z,2020-12-20T10:04:57.813482Z,0.24.1,Code generation for PyO3 package,https://github.com/pyo3/pyo3
